,Name,PlayerWin,Kills,Deaths,Assists,Team,OverviewPage
0,5cean,No,0,1,1,StarTale,Champions/2012 Season/Summer
1,5cean,No,3,3,6,StarTale,Champions/2012 Season/Summer
2,5cean,Yes,2,0,12,StarTale,Champions/2012 Season/Summer
3,5cean,Yes,5,0,7,StarTale,Champions/2012 Season/Summer
4,5cean,Yes,10,0,8,StarTale,Champions/2012 Season/Summer
5,5gamdo,No,0,1,1,Little Hippo,Champions/2012 Season/Spring
6,5gamdo,No,1,3,6,Little Hippo,Champions/2012 Season/Spring
7,5gamdo,Yes,6,4,7,Little Hippo,Champions/2012 Season/Spring
8,a Lilac,No,0,2,0,Team OP,Champions/2012 Season/Spring
9,a Lilac,No,1,4,4,Team OP,Champions/2012 Season/Spring
10,a Lilac,No,2,6,2,Team OP,Champions/2012 Season/Spring
11,a Lilac,No,2,6,8,Team OP,Champions/2012 Season/Spring
12,a Lilac,No,2,7,3,Team OP,Champions/2012 Season/Spring
13,a Lilac,Yes,1,3,7,Team OP,Champions/2012 Season/Spring
14,a Lilac,Yes,3,0,3,Team OP,Champions/2012 Season/Spring
15,a Lilac,Yes,5,5,13,Team OP,Champions/2012 Season/Spring
16,a Lilac,Yes,6,2,8,Team OP,Champions/2012 Season/Spring
17,a Lilac,Yes,12,2,8,Team OP,Champions/2012 Season/Spring
18,a Lilac,Yes,12,2,19,Team OP,Champions/2012 Season/Spring
19,a Wolf,No,0,2,5,NaJin Shield,Champions/2013 Season/Spring
20,a Wolf,No,0,3,1,NaJin Shield,Champions/2013 Season/Spring
21,a Wolf,No,0,3,8,NaJin Shield,Champions/2013 Season/Spring
22,a Wolf,No,0,5,3,NaJin Shield,Champions/2013 Season/Spring
23,a Wolf,No,0,5,8,NaJin Shield,Champions/2013 Season/Spring
24,a Wolf,No,1,2,1,NaJin Shield,Champions/2013 Season/Spring
25,a Wolf,No,1,2,8,NaJin Shield,Champions/2013 Season/Spring
26,a Wolf,Yes,1,2,10,NaJin Shield,Champions/2013 Season/Spring
27,a Wolf,Yes,1,3,19,NaJin Shield,Champions/2013 Season/Spring
