,Name,PlayerWin,Kills,Deaths,Assists,Team,OverviewPage
0,007x,No,0,3,1,Bangkok Titans,2015 Season World Championship
1,007x,No,0,4,4,Bangkok Titans,2015 Season World Championship
2,007x,No,0,6,5,Bangkok Titans,2015 Season World Championship
3,007x,No,2,3,2,Bangkok Titans,2015 Season World Championship
4,007x,No,2,5,5,Bangkok Titans,2015 Season World Championship
5,007x,No,4,4,7,Bangkok Titans,2015 Season World Championship
6,0N,Yes,0,2,17,Bilibili Gaming,2023 Season World Championship/Main Event
7,369,No,0,3,2,JD Gaming,2023 Season World Championship/Main Event
8,369,No,0,3,3,Top Esports,2020 Season World Championship/Main Event
9,369,No,0,3,3,Top Esports,2020 Season World Championship/Main Event
10,369,No,0,5,5,JD Gaming,2022 Season World Championship/Main Event
11,369,No,1,2,10,Top Esports,2020 Season World Championship/Main Event
12,369,No,1,3,1,JD Gaming,2023 Season World Championship/Main Event
13,369,No,1,4,5,JD Gaming,2023 Season World Championship/Main Event
14,369,No,1,6,5,JD Gaming,2022 Season World Championship/Main Event
15,369,No,1,7,3,JD Gaming,2022 Season World Championship/Main Event
16,369,No,2,1,4,JD Gaming,2023 Mid-Season Invitational
17,369,No,2,3,3,JD Gaming,2023 Mid-Season Invitational
18,369,No,2,3,5,JD Gaming,2023 Mid-Season Invitational
19,369,No,2,4,0,Top Esports,2020 Season World Championship/Main Event
20,369,No,2,4,1,JD Gaming,2023 Season World Championship/Main Event
21,369,No,3,2,3,Top Esports,2020 Season World Championship/Main Event
22,369,No,3,4,1,Top Esports,2020 Season World Championship/Main Event
23,369,No,3,7,5,JD Gaming,2023 Season World Championship/Main Event
24,369,No,7,5,5,JD Gaming,2022 Season World Championship/Main Event
25,369,Yes,0,0,3,JD Gaming,2023 Mid-Season Invitational
26,369,Yes,0,2,11,JD Gaming,2023 Mid-Season Invitational
27,369,Yes,0,2,11,JD Gaming,2023 Season World Championship/Main Event
28,369,Yes,0,3,4,JD Gaming,2022 Season World Championship/Main Event
29,369,Yes,0,3,13,JD Gaming,2023 Mid-Season Invitational
30,369,Yes,0,4,7,JD Gaming,2022 Season World Championship/Main Event
31,369,Yes,1,0,2,Top Esports,2020 Season World Championship/Main Event
32,369,Yes,1,0,3,JD Gaming,2023 Mid-Season Invitational
33,369,Yes,1,2,1,Top Esports,2020 Season World Championship/Main Event
34,369,Yes,1,2,4,JD Gaming,2023 Mid-Season Invitational
35,369,Yes,1,2,7,Top Esports,2020 Season World Championship/Main Event
36,369,Yes,1,5,4,JD Gaming,2023 Season World Championship/Main Event
37,369,Yes,2,1,5,JD Gaming,2023 Mid-Season Invitational
38,369,Yes,2,1,9,JD Gaming,2022 Season World Championship/Main Event
39,369,Yes,2,2,3,JD Gaming,2023 Mid-Season Invitational
40,369,Yes,2,2,11,JD Gaming,2023 Season World Championship/Main Event
41,369,Yes,2,3,8,Top Esports,2020 Season World Championship/Main Event
42,369,Yes,3,1,4,Top Esports,2020 Season World Championship/Main Event
43,369,Yes,3,1,4,JD Gaming,2023 Mid-Season Invitational
44,369,Yes,3,1,5,JD Gaming,2023 Season World Championship/Main Event
45,369,Yes,3,1,7,Top Esports,2020 Season World Championship/Main Event
46,369,Yes,3,2,5,JD Gaming,2023 Season World Championship/Main Event
47,369,Yes,3,2,6,JD Gaming,2023 Mid-Season Invitational
48,369,Yes,3,4,9,JD Gaming,2022 Season World Championship/Main Event
49,369,Yes,4,0,6,JD Gaming,2023 Mid-Season Invitational
50,369,Yes,4,0,6,JD Gaming,2023 Season World Championship/Main Event
51,369,Yes,4,0,7,JD Gaming,2022 Season World Championship/Main Event
52,369,Yes,4,1,9,JD Gaming,2023 Season World Championship/Main Event
53,369,Yes,4,2,2,JD Gaming,2023 Mid-Season Invitational
54,369,Yes,4,3,14,JD Gaming,2022 Season World Championship/Main Event
55,369,Yes,4,4,4,JD Gaming,2022 Season World Championship/Main Event
56,369,Yes,5,0,6,JD Gaming,2023 Season World Championship/Main Event
57,369,Yes,5,1,4,JD Gaming,2022 Season World Championship/Main Event
58,369,Yes,5,1,4,Top Esports,2020 Season World Championship/Main Event
59,369,Yes,5,2,6,Top Esports,2020 Season World Championship/Main Event
60,369,Yes,5,3,2,JD Gaming,2022 Season World Championship/Main Event
61,369,Yes,5,3,19,JD Gaming,2023 Mid-Season Invitational
62,369,Yes,10,1,11,JD Gaming,2022 Season World Championship/Main Event
63,369,Yes,10,3,5,Top Esports,2020 Season World Championship/Main Event
64,3Z,No,0,2,3,Hong Kong Attitude,2019 Season World Championship/Main Event
65,3Z,No,0,2,4,Hong Kong Attitude,2019 Season World Championship/Main Event
66,3Z,No,0,3,3,Hong Kong Attitude,2019 Season World Championship/Main Event
67,3Z,No,1,3,3,Hong Kong Attitude,2019 Season World Championship/Play-In
68,3Z,No,2,1,1,Hong Kong Attitude,2019 Season World Championship/Main Event
69,3Z,No,3,4,3,Hong Kong Attitude,2019 Season World Championship/Main Event
70,3Z,No,4,3,1,Hong Kong Attitude,2019 Season World Championship/Play-In
71,3Z,No,5,4,4,Hong Kong Attitude,2019 Season World Championship/Main Event
72,3Z,Yes,0,2,5,Hong Kong Attitude,2019 Season World Championship/Play-In
73,3Z,Yes,1,1,2,Hong Kong Attitude,2019 Season World Championship/Play-In
74,3Z,Yes,1,1,6,Hong Kong Attitude,2019 Season World Championship/Play-In
75,3Z,Yes,1,3,1,Hong Kong Attitude,2019 Season World Championship/Play-In
76,3Z,Yes,2,2,7,Hong Kong Attitude,2019 Season World Championship/Play-In
77,3Z,Yes,3,1,6,Hong Kong Attitude,2019 Season World Championship/Play-In
78,4LaN,No,0,3,3,Team oNe eSports,2017 Season World Championship/Play-In
79,4LaN,No,0,4,1,Team oNe eSports,2017 Season World Championship/Play-In
80,4LaN,No,0,6,0,Team oNe eSports,2017 Season World Championship/Play-In
