,Team,Player,OverviewPage,PageAndTeam,N PlayerInTeam,TeamOrder,Role,IsDistribution
0,1 Trick Ponies,LilKvn,NA LCS/Season 3/Spring Qualifiers,NA LCS/Season 3/Spring Qualifiers_1 Trick Ponies,3,1,Mid,1
1,1 Trick Ponies,lilkvn,NA LCS/Season 3/Spring Qualifiers/Ranked 5s Qualifier,NA LCS/Season 3/Spring Qualifiers/Ranked 5s Qualifier_1 Trick Ponies,3,1,Mid,1
2,1 Trick Ponies,PawnGypsy,NA LCS/Season 3/Spring Qualifiers,NA LCS/Season 3/Spring Qualifiers_1 Trick Ponies,1,1,Top,1
3,1 Trick Ponies,PawnGypsy,NA LCS/Season 3/Spring Qualifiers/Ranked 5s Qualifier,NA LCS/Season 3/Spring Qualifiers/Ranked 5s Qualifier_1 Trick Ponies,1,1,Top,1
4,1 Trick Ponies,RagingKenny,NA LCS/Season 3/Spring Qualifiers,NA LCS/Season 3/Spring Qualifiers_1 Trick Ponies,4,1,Bot,1
5,1 Trick Ponies,RagingKenny,NA LCS/Season 3/Spring Qualifiers/Ranked 5s Qualifier,NA LCS/Season 3/Spring Qualifiers/Ranked 5s Qualifier_1 Trick Ponies,4,1,Bot,1
6,1 Trick Ponies,Reduron,NA LCS/Season 3/Spring Qualifiers,NA LCS/Season 3/Spring Qualifiers_1 Trick Ponies,5,1,Support,1
7,1 Trick Ponies,Reduron,NA LCS/Season 3/Spring Qualifiers/Ranked 5s Qualifier,NA LCS/Season 3/Spring Qualifiers/Ranked 5s Qualifier_1 Trick Ponies,5,1,Support,1
8,1 Trick Ponies,ScubaChris,NA LCS/Season 3/Spring Qualifiers,NA LCS/Season 3/Spring Qualifiers_1 Trick Ponies,2,1,Jungle,1
9,1 Trick Ponies,ScubaChris,NA LCS/Season 3/Spring Qualifiers/Ranked 5s Qualifier,NA LCS/Season 3/Spring Qualifiers/Ranked 5s Qualifier_1 Trick Ponies,2,1,Jungle,1
10,100 Thieves,Abbedagge,LCS/2021 Season/Championship,LCS/2021 Season/Championship_100 Thieves,3,1,Mid,1
11,100 Thieves,Abbedagge,LCS/2021 Season/Summer Season,LCS/2021 Season/Summer Season_100 Thieves,5,1,Mid,1
12,100 Thieves,Abbedagge,LCS/2022 Season/Championship,LCS/2022 Season/Championship_100 Thieves,3,1,Mid,1
13,100 Thieves,Abbedagge,LCS/2022 Season/Lock In,LCS/2022 Season/Lock In_100 Thieves,4,1,Mid,1
