,Team,Player,OverviewPage,PageAndTeam,N PlayerInTeam,TeamOrder,Role,IsDistribution
0,04스크림하게TR계정주세요04,llxllxlxlxlxxll,LCK Academy Series/2023 Season/June,LCK Academy Series/2023 Season/June_04스크림하게TR계정주세요04,4,1,Bot,1
1,04스크림하게TR계정주세요04,Sairi,LCK Academy Series/2023 Season/June,LCK Academy Series/2023 Season/June_04스크림하게TR계정주세요04,2,1,Jungle,1
2,04스크림하게TR계정주세요04,오희찬,LCK Academy Series/2023 Season/June,LCK Academy Series/2023 Season/June_04스크림하게TR계정주세요04,3,1,Mid,1
3,04스크림하게TR계정주세요04,죽림초,LCK Academy Series/2023 Season/June,LCK Academy Series/2023 Season/June_04스크림하게TR계정주세요04,1,1,Top,1
4,04스크림하게TR계정주세요04,희성에몽제자,LCK Academy Series/2023 Season/June,LCK Academy Series/2023 Season/June_04스크림하게TR계정주세요04,5,1,Support,1
5,15ggplz,1day5egg,LCK Academy Series/2021 Season/April,LCK Academy Series/2021 Season/April_15ggplz,1,1,Top,1
6,15ggplz,bard boy,LCK Academy Series/2021 Season/April,LCK Academy Series/2021 Season/April_15ggplz,5,1,Support,1
7,15ggplz,bard boy,LCK Academy Series/2021 Season/February,LCK Academy Series/2021 Season/February_15ggplz,5,1,Support,1
8,15ggplz,Epoch1,LCK Academy Series/2020 Season/August,LCK Academy Series/2020 Season/August_15ggplz,2,1,Jungle,1
9,15ggplz,Karima,LCK Academy Series/2021 Season/February,LCK Academy Series/2021 Season/February_15ggplz,3,1,Mid,1
10,15ggplz,Pungyeon,LCK Academy Series/2021 Season/April,LCK Academy Series/2021 Season/April_15ggplz,3,1,Mid,1
11,15ggplz,Secondtheshy,LCK Academy Series/2021 Season/February,LCK Academy Series/2021 Season/February_15ggplz,1,1,Top,1
12,15ggplz,sup17,LCK Academy Series/2020 Season/August,LCK Academy Series/2020 Season/August_15ggplz,3,1,Mid,1
13,15ggplz,Taehyoung,LCK Academy Series/2021 Season/April,LCK Academy Series/2021 Season/April_15ggplz,2,1,Jungle,1
14,15ggplz,Unisia,LCK Academy Series/2021 Season/February,LCK Academy Series/2021 Season/February_15ggplz,2,1,Jungle,1
15,15ggplz,꼬마들의 잔치,LCK Academy Series/2021 Season/April,LCK Academy Series/2021 Season/April_15ggplz,4,1,Bot,1
16,15ggplz,너무조아해,LCK Academy Series/2020 Season/August,LCK Academy Series/2020 Season/August_15ggplz,5,1,Support,1
17,15ggplz,너하궁,LCK Academy Series/2020 Season/August,LCK Academy Series/2020 Season/August_15ggplz,4,1,Bot,1
18,15ggplz,벼랑위의 다람쥐,LCK Academy Series/2020 Season/August,LCK Academy Series/2020 Season/August_15ggplz,1,1,Top,1
19,15ggplz,보고 배워 제발,LCK Academy Series/2021 Season/February,LCK Academy Series/2021 Season/February_15ggplz,4,1,Bot,1
20,1top,Ad1top,LCK Academy Series/2021 Season/September,LCK Academy Series/2021 Season/September_1top,4,1,Bot,1
21,1top,Kr 06,LCK Academy Series/2021 Season/September,LCK Academy Series/2021 Season/September_1top,2,1,Jungle,1
22,1top,Xive,LCK Academy Series/2021 Season/September,LCK Academy Series/2021 Season/September_1top,5,1,Support,1
23,1top,건들지마 물어,LCK Academy Series/2021 Season/September,LCK Academy Series/2021 Season/September_1top,3,1,Mid,1
24,1top,연인들,LCK Academy Series/2021 Season/September,LCK Academy Series/2021 Season/September_1top,1,1,Top,1
25,2021 AF Academy,Esther,LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_2021 AF Academy,4,1,Bot,1
26,2021 AF Academy,Fear (Kim Seung-hyeon),LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_2021 AF Academy,3,1,Mid,1
27,2021 AF Academy,Poibos,LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_2021 AF Academy,5,1,Support,1
28,2021 AF Academy,강하다 별,LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_2021 AF Academy,1,1,Top,1
29,2021 AF Academy,효명고등학교,LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_2021 AF Academy,2,1,Jungle,1
30,22:26,누가 최고야,LCK Academy Series/2023 Season/March,LCK Academy Series/2023 Season/March_22:26,4,1,Bot,1
31,22:26,멈머 몽몽,LCK Academy Series/2023 Season/March,LCK Academy Series/2023 Season/March_22:26,3,1,Mid,1
32,22:26,북 쫑,LCK Academy Series/2023 Season/March,LCK Academy Series/2023 Season/March_22:26,2,1,Jungle,1
33,22:26,숟가락교육담당,LCK Academy Series/2023 Season/March,LCK Academy Series/2023 Season/March_22:26,5,1,Support,1
34,22:26,아가네네통,LCK Academy Series/2023 Season/March,LCK Academy Series/2023 Season/March_22:26,1,1,Top,1
35,4강가고싶어요,2O04 10 30,LCK Academy Series/2021 Season/August,LCK Academy Series/2021 Season/August_4강가고싶어요,1,1,Top,1
36,4강가고싶어요,Anachronistic,LCK Academy Series/2021 Season/August,LCK Academy Series/2021 Season/August_4강가고싶어요,5,1,Support,1
37,4강가고싶어요,나는알면서당해줘,LCK Academy Series/2021 Season/August,LCK Academy Series/2021 Season/August_4강가고싶어요,3,1,Mid,1
38,4강가고싶어요,내꿈은야소장인,LCK Academy Series/2021 Season/August,LCK Academy Series/2021 Season/August_4강가고싶어요,4,1,Bot,1
39,4강가고싶어요,잘해질꺼야난,LCK Academy Series/2021 Season/August,LCK Academy Series/2021 Season/August_4강가고싶어요,2,1,Jungle,1
40,5CTT,zai run,LCK Academy Series/2023 Season/June,LCK Academy Series/2023 Season/June_5CTT,2,1,Jungle,1
41,5CTT,겸서김,LCK Academy Series/2023 Season/June,LCK Academy Series/2023 Season/June_5CTT,3,1,Mid,1
42,5CTT,움마티비,LCK Academy Series/2023 Season/June,LCK Academy Series/2023 Season/June_5CTT,5,1,Support,1
43,5CTT,자크난입,LCK Academy Series/2023 Season/June,LCK Academy Series/2023 Season/June_5CTT,1,1,Top,1
44,5CTT,하이즈,LCK Academy Series/2023 Season/June,LCK Academy Series/2023 Season/June_5CTT,4,1,Bot,1
45,5추10알,Pygmali0n,LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_5추10알,4,1,Bot,1
46,5추10알,Scylla,LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_5추10알,2,1,Jungle,1
47,5추10알,Warhend,LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_5추10알,5,1,Support,1
48,5추10알,Whitehorse,LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_5추10알,3,1,Mid,1
49,5추10알,우리정글탑갱x,LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_5추10알,1,1,Top,1
50,AAO (Korean Team),Clever,LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_AAO (Korean Team),4,1,Bot,1
51,AAO (Korean Team),Kun (Kwon Oh-seong),LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_AAO (Korean Team),2,1,Jungle,1
52,AAO (Korean Team),Nia,LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_AAO (Korean Team),5,1,Support,1
53,AAO (Korean Team),Ssady,LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_AAO (Korean Team),1,1,Top,1
54,AAO (Korean Team),찐반인가,LCK Academy Series/2022 Season/March,LCK Academy Series/2022 Season/March_AAO (Korean Team),3,1,Mid,1
55,Ace (Korean Team),DANKING,LCK Academy Series/2020 Season/September,LCK Academy Series/2020 Season/September_Ace (Korean Team),4,1,Bot,1
56,Ace (Korean Team),JamDDing2,LCK Academy Series/2020 Season/September,LCK Academy Series/2020 Season/September_Ace (Korean Team),5,1,Support,1
57,Ace (Korean Team),Noticed,LCK Academy Series/2020 Season/September,LCK Academy Series/2020 Season/September_Ace (Korean Team),3,1,Mid,1
58,Ace (Korean Team),Road (Lee Seung-soo),LCK Academy Series/2020 Season/September,LCK Academy Series/2020 Season/September_Ace (Korean Team),1,1,Top,1
59,Ace (Korean Team),Swamp,LCK Academy Series/2020 Season/September,LCK Academy Series/2020 Season/September_Ace (Korean Team),2,1,Jungle,1
60,ACL Academy COSI,Acasia (Han Jae-hyeon),LCK Academy Series/2020 Season/October,LCK Academy Series/2020 Season/October_ACL Academy COSI,4,1,Bot,1
61,ACL Academy COSI,inexistente,LCK Academy Series/2020 Season/October,LCK Academy Series/2020 Season/October_ACL Academy COSI,1,1,Top,1
62,ACL Academy COSI,pioneer,LCK Academy Series/2020 Season/October,LCK Academy Series/2020 Season/October_ACL Academy COSI,5,1,Support,1
63,ACL Academy COSI,왕물쥐,LCK Academy Series/2020 Season/October,LCK Academy Series/2020 Season/October_ACL Academy COSI,2,1,Jungle,1
64,ACL Academy COSI,요다 유우키,LCK Academy Series/2020 Season/October,LCK Academy Series/2020 Season/October_ACL Academy COSI,3,1,Mid,1
65,ACL Academy HLN,03년생 탑솔러,LCK Academy Series/2020 Season/October,LCK Academy Series/2020 Season/October_ACL Academy HLN,1,1,Top,1
66,ACL Academy HLN,Lv 99 마피아보스,LCK Academy Series/2020 Season/October,LCK Academy Series/2020 Season/October_ACL Academy HLN,5,1,Support,1
67,ACL Academy HLN,SHINE (Lee Hyung-bae),LCK Academy Series/2020 Season/October,LCK Academy Series/2020 Season/October_ACL Academy HLN,4,1,Bot,1
