,Team,Player,OverviewPage,PageAndTeam,N PlayerInTeam,TeamOrder,Role,IsDistribution
0,1UP Gaming,Anoladoran,NA LCS/2014 Season/Spring Promotion/Qualifiers/WellPlayed 1,NA LCS/2014 Season/Spring Promotion/Qualifiers/WellPlayed 1_1UP Gaming,4,1,Bot,1
1,1UP Gaming,Broseboro,NA LCS/2014 Season/Spring Promotion/Qualifiers/WellPlayed 1,NA LCS/2014 Season/Spring Promotion/Qualifiers/WellPlayed 1_1UP Gaming,2,1,Jungle,1
2,1UP Gaming,Grumpylol,NA LCS/2014 Season/Spring Promotion/Qualifiers/WellPlayed 1,NA LCS/2014 Season/Spring Promotion/Qualifiers/WellPlayed 1_1UP Gaming,3,1,Mid,1
3,1UP Gaming,Hao (Hao Pham),NA LCS/2014 Season/Spring Promotion/Qualifiers/WellPlayed 1,NA LCS/2014 Season/Spring Promotion/Qualifiers/WellPlayed 1_1UP Gaming,5,1,Support,1
4,1UP Gaming,Knives,NA LCS/2014 Season/Spring Promotion/Qualifiers/WellPlayed 1,NA LCS/2014 Season/Spring Promotion/Qualifiers/WellPlayed 1_1UP Gaming,1,1,Top,1
5,2144 Danmu Gaming,Ayue,LPL/2016 Season/Spring Promotion,LPL/2016 Season/Spring Promotion_2144 Danmu Gaming,2,1,Jungle,1
6,2144 Danmu Gaming,Choi,LPL/2016 Season/Spring Promotion,LPL/2016 Season/Spring Promotion_2144 Danmu Gaming,6,1,Coach,1
7,2144 Danmu Gaming,DearSatan,LPL/2016 Season/Spring Promotion,LPL/2016 Season/Spring Promotion_2144 Danmu Gaming,3,1,Mid,1
8,2144 Danmu Gaming,Muyi,LPL/2016 Season/Spring Promotion,LPL/2016 Season/Spring Promotion_2144 Danmu Gaming,5,1,Support,1
9,2144 Danmu Gaming,Sky (Ha Neul),LPL/2016 Season/Spring Promotion,LPL/2016 Season/Spring Promotion_2144 Danmu Gaming,1,1,Top,1
10,2144 Danmu Gaming,Yjin,LPL/2016 Season/Spring Promotion,LPL/2016 Season/Spring Promotion_2144 Danmu Gaming,4,1,Bot,1
11,AD Gaming,BaeMe,LPL/2015 Season/Summer Promotion,LPL/2015 Season/Summer Promotion_AD Gaming,3,1,Mid,1
12,AD Gaming,Jinjiao,LPL/2015 Season/Summer Promotion,LPL/2015 Season/Summer Promotion_AD Gaming,4,1,Bot,1
13,AD Gaming,qixiaoyin,LPL/2015 Season/Summer Promotion,LPL/2015 Season/Summer Promotion_AD Gaming,2,1,Jungle,1
14,AD Gaming,Ray,LPL/2015 Season/Summer Promotion,LPL/2015 Season/Summer Promotion_AD Gaming,1,1,Top,1
15,AD Gaming,Shine (Chen Yang),LPL/2015 Season/Summer Promotion,LPL/2015 Season/Summer Promotion_AD Gaming,5,1,Support,1
16,Aeminium Esport,Barradeus,LPLOL Celebration Challenge 2020,LPLOL Celebration Challenge 2020_Aeminium Esport,2,1,Jungle,1
17,Aeminium Esport,blankie,LPLOL Celebration Challenge 2020,LPLOL Celebration Challenge 2020_Aeminium Esport,4,1,Bot,1
18,Aeminium Esport,Mae do Reus uwu,LPLOL Celebration Challenge 2020,LPLOL Celebration Challenge 2020_Aeminium Esport,5,1,Support,1
19,Aeminium Esport,Muka8,LPLOL Celebration Challenge 2020,LPLOL Celebration Challenge 2020_Aeminium Esport,1,1,Top,1
20,Aeminium Esport,Stalker (Bernardo Costa),LPLOL Celebration Challenge 2020,LPLOL Celebration Challenge 2020_Aeminium Esport,3,1,Mid,1
21,Afreeca Freecs,Aiming,Rift Rivals 2018/LCK-LPL-LMS,Rift Rivals 2018/LCK-LPL-LMS_Afreeca Freecs,4,1,Bot,1
22,Afreeca Freecs,Ccomet,Rift Rivals 2018/LCK-LPL-LMS,Rift Rivals 2018/LCK-LPL-LMS_Afreeca Freecs,7,1,Coach,1
23,Afreeca Freecs,Kiin,Rift Rivals 2018/LCK-LPL-LMS,Rift Rivals 2018/LCK-LPL-LMS_Afreeca Freecs,1,1,Top,1
24,Afreeca Freecs,Kramer,Rift Rivals 2018/LCK-LPL-LMS,Rift Rivals 2018/LCK-LPL-LMS_Afreeca Freecs,5,1,Bot,1
25,Afreeca Freecs,Kuro,Rift Rivals 2018/LCK-LPL-LMS,Rift Rivals 2018/LCK-LPL-LMS_Afreeca Freecs,3,1,Mid,1
26,Afreeca Freecs,Spirit,Rift Rivals 2018/LCK-LPL-LMS,Rift Rivals 2018/LCK-LPL-LMS_Afreeca Freecs,2,1,Jungle,1
27,Afreeca Freecs,TusiN,Rift Rivals 2018/LCK-LPL-LMS,Rift Rivals 2018/LCK-LPL-LMS_Afreeca Freecs,6,1,Support,1
