,DateStart,League,Name,StandardName,Split,SplitNumber,DateStart__precision
0,,,1era Liga de League of Legends ARGskill,,,,
1,,,2013 CGA Major League Winter,,,,
2,,,2013 The Legends Circuit,,,,
3,,,2014 Garena League Spring #3,,,,
4,,,2015 DDS League Season 1,,,,
5,,,2016 OCS Split 2 Promotion,,,,
6,,,AEL All Stars Main Event,,,,
7,,,After Hours Gaming League,,,,
8,,,Alienware,,,,
9,,,Alienware 2011 Fall Champions,,,,
10,,,Alienware Summer 2012,,,,
11,,,All Stars League Season 2,,,,
12,,,AllForGamers LoL Tournament,,,,
13,,,AME 1UP Cool Master Storm Tournament,,,,
14,,,ASUS ROG - Art to Play 2011,,,,
15,,,AVCon 2013,,,,
16,,,Aztec Wind Force Cup,,,,
17,,,Azubu Collegiate StarLeague,,,,
18,,,Baroncup #1,,,,
19,,,BEST LAN 2013,,,,
20,,,Birdie 24,,,,
21,,,Birdie 26,,,,
22,,,Blitz Cup,,,,
23,,,Brasil Gaming League #2,,,,
24,,,Brazilian Challenger Circuit,,,,
25,,,Challanger Arena,,,,
26,,,Challenge LOLMAG,,,,
27,,,Challenger Series,,,,
28,,,CM Storm Cup #1,,,,
29,,,CM Storm League breakrONE Internet Cafe,,,,
30,,,CM Storm League Tgar! NetCafe,,,,
31,,,CM Storm Pacific Pro Circuit Season 2 April,,,,
32,,,CM Storm Pacific Pro Circuit Season 2 July,,,,
33,,,CM Storm Pacific Pro Circuit Season 2 June,,,,
34,,,CM Storm Pacific Pro Circuit Season 2 May,,,,
35,,,CM Storm Pacific Pro Circuit Season 2 November,,,,
36,,,CM Storm Pacific Pro Circuit Season 2 October,,,,
37,,,CM Storm Pacific Pro Circuit Season 4,,,,
38,,,Cracow Game Spot 2013,,,,
39,,,CSL LoL REDUX,,,,
40,,,Curse King Of The Hill,,,,
41,,,CyAC LoL Championship #1,,,,
42,,,Demacia Cup,,,,
43,,,Dengeki Bunko &amp; eSports MAX Cup #1,,,,
44,,,Desafio Geek Lounge,,,,
45,,,E-Sports Square V,,,,
46,,,E-University League LAN Finals,,,,
47,,,EMS Season 10 Move Up Cup,,,,
48,,,EPS France Season 7,,,,
49,,,ESL Go4LoL 2015 December,,,,
50,,,ESL Philippines Opening Series 1,,,,
51,,,ESL Philippines Opening Series 2,,,,
52,,,EsportFest 2015 Spring,,,,
53,,,ESPORTSM 2013/2014,,,,
54,,,Evolution LOL Cup #13,,,,
55,,,Falkon 2014,,,,
56,,,Family Feuds: Origen &amp; Astralis,,,,
57,,,Feel Like a PRO,,,,
58,,,Fox Esport League,,,,
59,,,Frag For Charity Fibre Optiks Gaming League,,,,
60,,,G-Force 2012,,,,
61,,,GALAXY eSports Carnival 2012,,,,
62,,,Gamecom Plantronics 2011,,,,
63,,,Games4u LoL Cup,,,,
64,,,Garena Campus League 2015,,,,
65,,,Garena Campus League 2016,,,,
66,,,Garena Talk Talk League,,,,
67,,,Garena's G1 eSports 2011,,,,
68,,,GGCUP Championship,,,,
69,,,GIRLGAMER 2019 Esports Festival Seoul - Singapore Qualifier,,,,
70,,,GMPGL Seaonn V-8 Class S,,,,
71,,,GMPGL Season IV-4,,,,
72,,,GMPGL Season IV-5,,,,
73,,,GMPGL Season IV-7,,,,
74,,,GMPGL Season IV-8,,,,
75,,,GMPGL Season V-2,,,,
76,,,GMPGL Season V-3,,,,
77,,,GMPGL Season V-4,,,,
78,,,GMPGL Season V-5,,,,
79,,,GMPGL Season V-6,,,,
80,,,GMPGL Season V-7 Class S,,,,
81,,,GMPGL Season V-9 Class S,,,,
82,,,Grand Opening LoL Showdown,,,,
83,,,Hall of Games 2014,,,,
84,,,hf.lan,,,,
85,,,Hf.lan 8,,,,
86,,,Hitpoint Winter 2021 Play-In,,,,
87,,,HKLAN 2013,,,,
88,,,Hong Kong Esports Tournament Qualifiers,,,,
89,,,Hong Kong Internet Cafes Challenger Cup,,,,
90,,,HotDogs Allo Resto,,,,
91,,,Howie's E-vitational,,,,
92,,,IEM Global Challenge Guangzhou,,,,
93,,,IGN ProLeague Season 6 - Qualifiers,,,,
94,,,International e-Culture Festival 2015,,,,
95,,,IPL LoLympics,,,,
96,,,JCG Premier League: Grand Finals,,,,
97,,,KYO X Msystem League Cup,,,,
98,,,LANcouver 2012,,,,
99,,,LCL OC 2022 Spring Group Stage,LCL OC 2022 Spring Group Stage,,,
100,,,League of Champions,,,,
101,,,League of Legends Battlegrounds EU Fall 2012,,,,
102,,,League of Legends Battlegrounds EU Winter 2012,,,,
103,,,League of Legends Cobra Tournament,,,,
104,,,League of Legends CyAC Tournament 3,,,,
105,,,League of Legends Death Adder Tournament,,,,
106,,,League of Legends Mamba Tournament,,,,
107,,,League of Legends Master Series,,,,
108,,,League of Legends Vipers Tournament,,,,
109,,,Legendary Gaming Easter Cup,,,,
110,,,Lemondogs LoL Open #1,,,,
111,,,Liga de Cuarentena 2020 Ibai,,,,
112,,,LJC 3rd ROCCAT Cup,,,,
113,,,LJC 4th ROCCAT&amp;MSI Cup,,,,
114,,,LoL Bulgaria Varna LAN,,,,
115,,,LoL Club Series 2016 Spring,,,,
116,,,LoL EU East 5on5 OC Fall 2012,,,,
117,,,LoLPro NA 1v1 Challenge Tournament 5,,,,
118,,,LoLPro NA 1v1 Challenge Tournament 6,,,,
119,,,LoLPro NA Dominion Showdown #2,,,,
120,,,LPLOL 2017 Split 1 Promotion,,,,
121,,,LPLOL 2018 Split 1 Promotion,,,,
122,,,LVP CSS Season 14,,,,
123,,,LVP Season 10 Qualifier,,,,
124,,,LVP Season 11 Qualifier,,,,
125,,,Lyon e-Sport 4,,,,
126,,,Made In Asia LoL Challenge,,,,
127,,,MEET-UP 2014,,,,
128,,,MOBAFire Community Cup EUW November,,,,
129,,,MOBAFire Community Cup EUW October,,,,
130,,,MondoCon 2014 Autumn,,,,
131,,,MondoCon 2015 Autumn,,,,
