,ID,Age,Birthdate,Birthdate__precision
0,007x,27,1995-09-17,1
1,007x,27,1995-09-17,1
2,057,,,
3,0909,19,2003-09-09,1
4,0909,19,2003-09-09,1
5,0kay,,,
6,0noken,22,2001-01-26,1
7,0noken,22,2001-01-26,1
8,0ri,,,
9,0ri,,,
10,1000 Rounds,,,
11,1024,23,1999-10-24,1
12,1026,18,2004-10-08,1
13,10ng,,,
14,1116,20,2002-11-16,1
15,1116,20,2002-11-16,1
16,1116,20,2002-11-16,1
17,113,18,2004-08-12,1
18,1220,,,
19,1220,,,
20,12345,,,
21,12345,,,
22,12345,,,
23,12345,,,
24,13arry,,,
25,13Ghost,,,
26,13Ghost,,,
27,13Ghost,,,
28,14Mat,19,2003-09-14,1
29,150,,,
30,1874,,,
31,1874,,,
32,1874,,,
33,1984,30,1993-02-17,1
34,1998,,,
35,1an,,,
36,1an,,,
37,1an,,,
38,1an,,,
39,1Bicho,,,
40,1Blue,,,
41,1Blue,,,
42,1buki,,,
43,1bYAYA,27,1996-04-12,1
44,1bYAYA,27,1996-04-12,1
45,1bYAYA,27,1996-04-12,1
46,1bYAYA,27,1996-04-12,1
47,1bYAYA,27,1996-04-12,1
48,1chope,22,2001-02-09,1
49,1chope,22,2001-02-09,1
50,1chope,22,2001-02-09,1
51,1chope,22,2001-02-09,1
52,1Curioso,,,
53,1Curioso,,,
54,1DarKNess,22,2000-08-08,1
55,1DarKNess,22,2000-08-08,1
56,1day5egg,24,1999-04-27,1
57,1deag,,,
58,1Defu,20,2002-09-02,1
59,1dt,,,
60,1dt,,,
61,1ee,,,
62,1Ground,25,1998-07-14,1
63,1Ground,25,1998-07-14,1
64,1Ground,25,1998-07-14,1
65,1Ground,25,1998-07-14,1
66,1Haru,,,
67,1in,,,
68,1in,,,
69,1Lee,,,
70,1mpos,,,
71,1ntruder,28,1994-08-14,1
72,1ntruder,28,1994-08-14,1
73,1ntruder,28,1994-08-14,1
74,1ntruder,28,1994-08-14,1
75,1onz,26,1997-04-14,1
76,1onz,26,1997-04-14,1
77,1onz,26,1997-04-14,1
78,1roNN,25,1998-04-14,1
79,1roNN,25,1998-04-14,1
80,1Sicken,,,
81,1ssue,,,
82,1ssue,,,
83,1X,19,2003-11-20,1
84,1xn,19,2004-05-01,1
85,2 PAC,,,
86,20,,,
87,2004 Lexus GX470,,,
88,2020,,,
89,2020,27,1996-03-20,1
90,2020,27,1996-03-20,1
91,211,,,
92,211,,,
93,2188,26,1997-07-19,1
94,2188,26,1997-07-19,1
95,21XXX,,,
96,224,,,
97,225,,,
98,228,33,1990-05-18,1
99,228,33,1990-05-18,1
100,228,33,1990-05-18,1
101,228,33,1990-05-18,1
102,24,20,2002-09-26,1
103,27,,,
104,2Axes,24,1999-05-18,1
105,2Cups,22,2000-10-24,1
106,2Cups,22,2000-10-24,1
107,2Guns,,,
108,2Guns,,,
109,2K,23,2000-04-02,1
110,2Night,23,2000-07-05,1
111,2rius,,,
112,2T,20,2003-02-02,1
113,2T,20,2003-02-02,1
114,2Trick,26,1997-05-29,1
115,2Trick,26,1997-05-29,1
116,2Trick,26,1997-05-29,1
117,2y1,,,
118,2y1,,,
119,300,27,1996-01-18,1
120,300,27,1996-01-18,1
121,3279,25,1997-12-16,1
122,3279,25,1997-12-16,1
123,3345678,,,
124,34,28,1995-03-29,1
125,34,28,1995-03-29,1
126,361efe,,,
127,369,22,2001-07-12,1
128,3in1warrior,24,1998-10-20,1
129,3n,,,
130,3n,,,
131,3z,26,1996-12-30,1
132,3z,26,1996-12-30,1
133,3z,26,1996-12-30,1
134,3z,26,1996-12-30,1
135,3z,26,1996-12-30,1
136,3z3,,,
137,404,,,
138,404,,,
139,42,,,
140,420,26,1997-06-23,1
141,44,18,2005-05-14,1
142,4ever,,,
143,4LaN,24,1998-10-22,1
144,4rch,,,
145,4rch,,,
146,4Shore,,,
147,4zeer0,,,
148,527,,,
149,527,,,
150,555dog,22,2000-08-16,1
151,563,,,
152,57,,,
153,570,,,
154,570,,,
155,570,,,
156,570,,,
157,570,,,
158,5fire,24,1999-07-02,1
159,5gamdo,,,
160,5K,,,
161,5K,,,
162,5kid,23,1999-11-28,1
163,5kid,23,1999-11-28,1
164,5mi,,,
165,5ynco,29,1994-03-02,1
166,614,,,
167,616,,,
168,616,,,
169,6622,18,2005-06-01,1
170,6622,18,2005-06-01,1
171,665,20,2003-03-24,1
172,665,20,2003-03-24,1
173,665,20,2003-03-24,1
174,665,20,2003-03-24,1
175,6abysweet,,,
176,6ax,,,
177,6ax,,,
178,6zc,,,
179,700oxin,,,
180,705,21,2002-05-28,1
181,705,21,2002-05-28,1
182,725,,,
183,7420 Mzg,,,
184,7420 Mzg,,,
185,7Aster,25,1998-06-12,1
186,7Aster,25,1998-06-12,1
187,7copy,,,
188,7ico,,,
189,7kane,35,1987-12-27,1
190,7kane,35,1987-12-27,1
191,86,,,
192,870,,,
193,887,,,
194,8thFlash,28,1995-03-21,1
195,8thFlash,28,1995-03-21,1
196,8yen,,,
197,925,,,
198,957,29,1993-09-21,1
199,96NKtaityo,,,
200,9769,,,
201,985,,,
202,985,,,
203,987,,,
204,997,25,1997-09-09,1
205,997,25,1997-09-09,1
206,997,25,1997-09-09,1
207,9eetoo,,,
208,9eetoo,,,
209,9Lives,23,1999-12-22,1
210,A 5,,,
211,A M U S E 4,28,1995-06-19,1
212,A M U S E 4,28,1995-06-19,1
213,A Seal,,,
214,A02,24,1999-04-01,1
215,a0k,,,
216,A1,,,
217,A1,,,
218,A1,,,
219,A1ter,,,
220,A266,,,
221,A266,,,
222,A8000,,,
223,AAey,,,
224,Aagie,26,1996-12-29,1
225,Aakash,,,
226,Aang,,,
227,Aaron,,,
228,aaron,,,
229,Aaron,19,2004-06-02,1
230,Aaron,19,2004-06-02,1
231,Aaron,33,1990-03-05,1
232,Aaron Kapiko,,,
233,Aarsh,,,
234,Aavhin,,,
235,Ab,,,
236,Ab,,,
237,AB Maj,,,
238,Abaddon,,,
239,Abagnale,22,2000-08-11,1
240,Abanke,,,
241,Abaria,28,1995-03-28,1
242,Abaria,28,1995-03-28,1
243,Abaxial,33,1990-03-30,1
244,Abbadon,,,
245,Abbedagge,23,1999-09-10,1
246,Abdulla,23,2000-05-09,1
247,Abedz,20,2003-01-20,1
248,AbeL,,,
249,AbeL,,,
250,AbeL,,,
251,Abitak,,,
252,Ablazeolive,24,1998-11-16,1
253,Able,23,2000-02-24,1
254,Abmis,,,
255,Abner,,,
256,Abner,,,
257,Abner,,,
258,Abner,,,
259,Abner,,,
260,Aboekra,,,
261,Aboekra,,,
262,Abou222,27,1996-02-20,1
263,About,18,2005-04-17,1
264,About,18,2005-04-17,1
265,Abscense,,,
266,Abscense,,,
267,Absolut,,,
268,Absolute,23,1999-08-24,1
269,Abyss,,,
270,Abyss,,,
271,Abyss,,,
272,Abyss,,,
273,Abyss,17,2005-08-26,1
274,Abyss,17,2005-08-26,1
275,Abyss,17,2005-08-26,1
276,Abyss,21,2002-06-26,1
277,AC,,,
278,AC,29,1993-08-30,1
279,Acaleus,23,1999-09-10,1
280,Acaleus,23,1999-09-10,1
281,Acce,27,1995-10-06,1
282,Acce,27,1995-10-06,1
283,Accez,,,
284,Accez,,,
285,Accez,,,
286,Acciy,,,
287,Accziz,,,
288,ACD,23,2000-06-24,1
289,ACD,23,2000-06-24,1
290,Ace,,,
291,Ace,,,
292,Ace,,,
293,Ace,,,
294,AcE,,,
295,Ace,28,1995-04-24,1
296,Ace,28,1995-04-24,1
297,Acedia,,,
298,Acee,25,1997-11-25,1
299,Acee,25,1997-11-25,1
300,Acee,25,1997-11-25,1
301,Acefos,29,1993-12-23,1
302,Acefos,29,1993-12-23,1
303,Acefos,29,1993-12-23,1
304,Acefos,29,1993-12-23,1
305,Acerola,,,
306,Acerola,,,
307,Acerola,,,
308,Acerola,,,
309,Acerola,,,
310,AceRoxas,25,1997-10-22,1
311,AceStyle,,,
312,Acevedo,,,
313,Acheng,,,
314,Achie,30,1992-09-23,1
315,Achille,,,
316,Achilles,23,2000-02-06,1
317,Achilles,23,2000-02-06,1
318,aChuckArell,20,2003-05-22,1
319,aChuckArell,20,2003-05-22,1
320,Achuu,29,1994-06-06,1
321,Achuu,29,1994-06-06,1
322,Achuu,29,1994-06-06,1
323,Aci,,,
324,Aci,,,
325,Aci,,,
326,Acillac,,,
327,Ackerman,,,
328,Ackerman,20,2002-11-29,1
329,Ackerman,20,2002-11-29,1
330,Acme,,,
331,Acorn,33,1990-07-13,1
332,Acorn,33,1990-07-13,1
333,Acorn,33,1990-07-13,1
334,AcRo,26,1997-04-21,1
335,Acrozo,20,2002-08-01,1
336,Act,,,
337,Activeforce5,,,
338,Actor,,,
339,Actor,,,
340,Acuarelas,,,
341,Acze8,,,
342,Acze8,,,
343,AD,17,2006-06-01,1
344,AD,17,2006-06-01,1
345,AD,21,2002-02-08,1
346,AD,21,2002-02-08,1
347,AD,21,2002-02-08,1
348,AD,21,2002-02-08,1
349,AD,21,2002-02-08,1
350,Adam,,,
351,Adam,21,2001-12-30,1
352,Adam,21,2001-12-30,1
353,Adam1,,,
354,Adam1,,,
355,AdaMed,,,
356,Adamson,,,
357,Adaniel,,,
358,Adarve,,,
359,Adasz,,,
360,ADC Test,18,2005-03-27,1
361,ADC Test,18,2005-06-27,1
362,ADD,24,1998-10-17,1
363,Addi,,,
364,Addi,,,
365,Addi,27,1996-07-06,1
366,Addi,27,1996-07-06,1
367,Addoh,,,
368,Addoh,,,
369,Addoh,,,
370,Addoh,,,
371,Addusto,17,2005-12-16,1
372,Adeer,,,
373,ADeliver,,,
374,Adept,25,1998-04-28,1
375,Adept,25,1998-04-28,1
376,Aders,,,
377,ADFX,24,1998-09-12,1
378,ADFX,24,1998-09-12,1
379,adi1,,,
380,adi1,,,
381,adi1,,,
382,adi1,,,
383,adi1,,,
384,adi1,,,
385,adi1,,,
386,Adiogs,20,2003-07-10,1
387,Adiogs,20,2003-07-10,1
388,Adiogs,20,2003-07-10,1
389,Adison,,,
390,Adiss,22,2000-09-23,1
391,Adjacent,,,
392,Adjudicator,,,
393,ADKerry,,,
394,ADKerry,,,
395,Adm,,,
396,ADM,,,
397,Admawodo,,,
398,Admiral Jane,,,
399,Admiral Jane,,,
400,Adniel,23,2000-02-10,1
401,Adol IX,,,
402,adoppteR,,,
403,Adrelina,30,1993-03-02,1
404,Adri,22,2000-11-03,1
405,Adrian,26,1997-02-18,1
406,Adrian,26,1997-02-18,1
407,Adrian,26,1997-02-18,1
408,Adrian Riven,26,1996-09-07,1
409,Adrian Riven,26,1996-09-07,1
410,Adrian Riven,26,1996-09-07,1
411,Adrianz9,,,
412,Adricesa,,,
413,Adrixn,,,
414,Adry,,,
415,Adryh,,,
416,AdrYh,24,1998-11-09,1
417,AdrYh,24,1998-11-09,1
418,Adsiit,,,
419,Adsiit,,,
420,Advanze,25,1998-06-03,1
421,Adversaire,,,
422,Advienne,26,1997-05-11,1
423,Ady,,,
424,Ady,,,
425,Adysma,,,
426,Aedon,,,
427,Aegis,18,2005-02-26,1
428,Aegis,18,2005-02-26,1
429,Aegis,23,1999-09-09,1
430,Aeiden,,,
431,Aeiish,23,2000-05-17,1
432,Aeizus,,,
433,Aeko,,,
434,AeonBlast,27,1996-07-15,1
435,AeonBlast,27,1996-07-15,1
436,Aerados,,,
437,Aerados,,,
438,Aesenar,26,1996-09-27,1
439,Aesenar,26,1996-09-27,1
440,Aesenar,26,1996-09-27,1
441,Aesthetic,26,1997-04-14,1
442,Aesthetic,26,1997-04-14,1
443,Aether,,,
444,Aether,26,1997-04-07,1
445,Aetinoth,,,
446,Afcl,,,
447,AFei,,,
448,Afeto,,,
449,Afk,,,
