,Team,Player,OverviewPage,PageAndTeam,N PlayerInTeam,TeamOrder,Role,IsDistribution
0,0utspire Etaming,Alois,ESL Benelux Championship/2018 Season/Summer Qualifiers,ESL Benelux Championship/2018 Season/Summer Qualifiers_0utspire Etaming,1,1,Top,1
1,0utspire Etaming,Bjorn,ESL Benelux Championship/2018 Season/Summer Qualifiers,ESL Benelux Championship/2018 Season/Summer Qualifiers_0utspire Etaming,2,1,Jungle,1
2,0utspire Etaming,Karnemel,ESL Benelux Championship/2018 Season/Summer Qualifiers,ESL Benelux Championship/2018 Season/Summer Qualifiers_0utspire Etaming,3,1,Mid,1
3,0utspire Etaming,Mark (Mark De Korte),ESL Benelux Championship/2018 Season/Summer Qualifiers,ESL Benelux Championship/2018 Season/Summer Qualifiers_0utspire Etaming,5,1,Support,1
4,0utspire Etaming,Yoni,ESL Benelux Championship/2018 Season/Summer Qualifiers,ESL Benelux Championship/2018 Season/Summer Qualifiers_0utspire Etaming,4,1,Bot,1
5,1 تماسيح بلدنا,1DarKNess,MENA Championship/Season 1/Egypt/Final Qualifier,MENA Championship/Season 1/Egypt/Final Qualifier_1 تماسيح بلدنا,1,1,Top,1
6,1 تماسيح بلدنا,1DarKNess,MENA Championship/Season 1/Egypt/Season Finals,MENA Championship/Season 1/Egypt/Season Finals_1 تماسيح بلدنا,1,1,Top,1
7,1 تماسيح بلدنا,Annie Bot,MENA Championship/Season 1/Egypt/Final Qualifier,MENA Championship/Season 1/Egypt/Final Qualifier_1 تماسيح بلدنا,3,1,Mid,1
8,1 تماسيح بلدنا,Annie Bot,MENA Championship/Season 1/Egypt/Season Finals,MENA Championship/Season 1/Egypt/Season Finals_1 تماسيح بلدنا,5,1,"Mid,Bot",1
9,1 تماسيح بلدنا,BuggzBunny,MENA Championship/Season 1/Egypt/Season Finals,MENA Championship/Season 1/Egypt/Season Finals_1 تماسيح بلدنا,2,1,Top,1
10,1 تماسيح بلدنا,Galalah,MENA Championship/Season 1/Egypt/Season Finals,MENA Championship/Season 1/Egypt/Season Finals_1 تماسيح بلدنا,4,1,Mid,1
11,1 تماسيح بلدنا,Kholio,MENA Championship/Season 1/Egypt/Final Qualifier,MENA Championship/Season 1/Egypt/Final Qualifier_1 تماسيح بلدنا,2,1,Jungle,1
12,1 تماسيح بلدنا,Kholio,MENA Championship/Season 1/Egypt/Season Finals,MENA Championship/Season 1/Egypt/Season Finals_1 تماسيح بلدنا,3,1,Jungle,1
13,1 تماسيح بلدنا,Paralyze,MENA Championship/Season 1/Egypt/Final Qualifier,MENA Championship/Season 1/Egypt/Final Qualifier_1 تماسيح بلدنا,5,1,Support,1
14,1 تماسيح بلدنا,Paralyze,MENA Championship/Season 1/Egypt/Season Finals,MENA Championship/Season 1/Egypt/Season Finals_1 تماسيح بلدنا,7,1,Support,1
15,1 تماسيح بلدنا,Serano,MENA Championship/Season 1/Egypt/Final Qualifier,MENA Championship/Season 1/Egypt/Final Qualifier_1 تماسيح بلدنا,4,1,Bot,1
16,1 تماسيح بلدنا,Serano,MENA Championship/Season 1/Egypt/Season Finals,MENA Championship/Season 1/Egypt/Season Finals_1 تماسيح بلدنا,6,1,Bot,1
17,100 Thieves,Abbedagge,2021 Season World Championship/Main Event,2021 Season World Championship/Main Event_100 Thieves,3,1,Mid,1
18,100 Thieves,Abbedagge,2022 Season World Championship/Main Event,2022 Season World Championship/Main Event_100 Thieves,3,1,Mid,1
19,100 Thieves,Abbedagge,LCS/2021 Season/Championship,LCS/2021 Season/Championship_100 Thieves,3,1,Mid,1
20,100 Thieves,Abbedagge,LCS/2022 Season/Championship,LCS/2022 Season/Championship_100 Thieves,3,1,Mid,1
21,100 Thieves,AnDa,2018 Season World Championship/Main Event,2018 Season World Championship/Main Event_100 Thieves,2,1,Jungle,1
22,100 Thieves,aphromoo,2018 Season World Championship/Main Event,2018 Season World Championship/Main Event_100 Thieves,5,1,Support,1
23,100 Thieves,Busio,LCS/2023 Season/Championship,LCS/2023 Season/Championship_100 Thieves,5,1,Support,1
24,100 Thieves,Cain,LCS/2023 Season/Championship,LCS/2023 Season/Championship_100 Thieves,7,1,Coach,1
25,100 Thieves,Closer (Can Çelik),2021 Season World Championship/Main Event,2021 Season World Championship/Main Event_100 Thieves,2,1,Jungle,1
26,100 Thieves,Closer (Can Çelik),2022 Season World Championship/Main Event,2022 Season World Championship/Main Event_100 Thieves,2,1,Jungle,1
27,100 Thieves,Closer (Can Çelik),LCS/2021 Season/Championship,LCS/2021 Season/Championship_100 Thieves,2,1,Jungle,1
28,100 Thieves,Closer (Can Çelik),LCS/2022 Season/Championship,LCS/2022 Season/Championship_100 Thieves,2,1,Jungle,1
29,100 Thieves,Closer (Can Çelik),LCS/2023 Season/Championship,LCS/2023 Season/Championship_100 Thieves,2,1,Jungle,1
30,100 Thieves,Doublelift,LCS/2023 Season/Championship,LCS/2023 Season/Championship_100 Thieves,4,1,Bot,1
