,Team,Player,OverviewPage,PageAndTeam,N PlayerInTeam,TeamOrder,Role,IsDistribution
0,Aeon-eSports,0rka,Electronic Sports Festival 2018,Electronic Sports Festival 2018_Aeon-eSports,1,1,Top,1
1,Aeon-eSports,Aspirra,Electronic Sports Festival 2018,Electronic Sports Festival 2018_Aeon-eSports,5,1,Support,1
2,Aeon-eSports,Faizl,Electronic Sports Festival 2018,Electronic Sports Festival 2018_Aeon-eSports,3,1,Mid,1
3,Aeon-eSports,Inder,Electronic Sports Festival 2018,Electronic Sports Festival 2018_Aeon-eSports,4,1,Bot,1
4,Aeon-eSports,Viper (Daniel Gruber),Electronic Sports Festival 2018,Electronic Sports Festival 2018_Aeon-eSports,2,1,Jungle,1
5,Anyone's Legend,BoWen,National Electronic Sports Tournament 2022,National Electronic Sports Tournament 2022_Anyone's Legend,1,1,Top,1
6,Anyone's Legend,Coten,National Electronic Sports Tournament 2022,National Electronic Sports Tournament 2022_Anyone's Legend,2,1,Top,1
7,Anyone's Legend,Erha,National Electronic Sports Tournament 2022,National Electronic Sports Tournament 2022_Anyone's Legend,4,1,Mid,1
8,Anyone's Legend,Hungry,National Electronic Sports Tournament 2022,National Electronic Sports Tournament 2022_Anyone's Legend,5,1,Bot,1
9,Anyone's Legend,Kaixuan,National Electronic Sports Tournament 2022,National Electronic Sports Tournament 2022_Anyone's Legend,6,1,Support,1
10,Anyone's Legend,Relife,National Electronic Sports Tournament 2022,National Electronic Sports Tournament 2022_Anyone's Legend,3,1,Jungle,1
11,Astralis,113,LEC/2023 Season/Spring Groups,LEC/2023 Season/Spring Groups_Astralis,2,1,Jungle,1
12,Astralis,113,LEC/2023 Season/Spring Season,LEC/2023 Season/Spring Season_Astralis,2,1,Jungle,1
13,Astralis,113,LEC/2023 Season/Summer Season,LEC/2023 Season/Summer Season_Astralis,2,1,Jungle,1
14,Astralis,113,LEC/2023 Season/Winter Groups,LEC/2023 Season/Winter Groups_Astralis,2,1,Jungle,1
15,Astralis,113,LEC/2023 Season/Winter Season,LEC/2023 Season/Winter Season_Astralis,2,1,Jungle,1
