,Team,Player
0,: ),Gaarfìeld
1,: ),gpabuser
2,: ),Huncho Stuntin
3,: ),Kitsùne
4,: ),vavà
5,:R THEY ARE SO BAD,Chakib
6,:R THEY ARE SO BAD,Chakib
7,:R THEY ARE SO BAD,Dratiko
8,:R THEY ARE SO BAD,Dratiko
9,:R THEY ARE SO BAD,napo
10,:R THEY ARE SO BAD,napo
11,:R THEY ARE SO BAD,STREY
12,:R THEY ARE SO BAD,STREY
13,:R THEY ARE SO BAD,Theunited
14,:R THEY ARE SO BAD,Theunited
15,:R THEY ARE SO BAD,Yamy
16,:R THEY ARE SO BAD,Yamy
17,@frica division l,Lucid Prodigy
18,@frica division l,Lucid Prodigy
19,@frica division l,Shatter
20,@frica division l,Shatter
21,@frica division l,Stefaqx
22,@frica division l,Stefaqx
23,@frica division l,Stormblade Zed
24,@frica division l,Stormblade Zed
25,@frica division l,Templier Fishou
26,@frica division l,Templier Fishou
27,•,Jaacoolb
28,•,LordKeram
29,•,Taylor Swift
30,•,Tixn
31,•,Wapode
32,0 TOUT,Destan
33,0 TOUT,devostitu
34,0 TOUT,Ebene
35,0 TOUT,F0llen
36,0 TOUT,Ylliade
37,0%Drafting,Annyeong
38,0%Drafting,Annyeong
39,0%Drafting,Bobiistaa
40,0%Drafting,Bobiistaa
41,0%Drafting,Jellou
42,0%Drafting,Jellou
43,0%Drafting,Mauss
44,0%Drafting,Mauss
45,0%Drafting,motýlek
46,0%Drafting,motýlek
47,0%Drafting,Narama
48,0%Drafting,Narama
49,00 Nation,BenjiBoo
